               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.029066,             0.02366,           0.0023032,             0.79387,              0.7221,             0.79217,             0.50099,            0.032392,            0.017414,           0.0078678,           0.0084556,           0.0084556,           0.0084556
                  80,            0.028617,            0.022651,           0.0023305,             0.89615,             0.71945,             0.78413,             0.50752,            0.032566,            0.017238,           0.0088526,           0.0084358,           0.0084358,           0.0084358
                  81,            0.027037,            0.022537,           0.0024141,             0.83388,               0.751,             0.81289,             0.51281,            0.032389,            0.017632,           0.0087158,            0.008416,            0.008416,            0.008416
                  82,            0.027823,            0.023687,           0.0021656,             0.87467,             0.79204,             0.82595,             0.52425,            0.031433,            0.016492,           0.0074633,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027021,            0.024033,           0.0021681,             0.80449,             0.79621,             0.82034,             0.52816,             0.03094,             0.01656,           0.0073397,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028822,            0.021949,           0.0024118,             0.85277,             0.75767,             0.79868,             0.51284,            0.032701,            0.017444,            0.007616,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027851,            0.020919,            0.002351,             0.85475,             0.76381,             0.82927,              0.5297,            0.030448,            0.018103,           0.0063583,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027841,            0.023602,           0.0023386,             0.89238,             0.75457,             0.83311,             0.54686,            0.031746,             0.01836,           0.0086071,            0.008317,            0.008317,            0.008317
                  87,            0.027478,            0.021123,           0.0021988,             0.86998,             0.70707,             0.81419,             0.51608,            0.032196,            0.018582,           0.0091936,           0.0082972,           0.0082972,           0.0082972
                  88,            0.027159,            0.022666,           0.0022737,             0.81275,             0.76761,             0.81394,              0.5146,            0.033075,            0.018353,           0.0074776,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027265,            0.022371,             0.00215,             0.81084,              0.7223,             0.81769,             0.54403,            0.031664,            0.018497,           0.0087399,           0.0082576,           0.0082576,           0.0082576
                  90,             0.02672,            0.023511,           0.0022399,             0.79443,             0.78842,             0.79744,             0.51873,             0.03124,            0.017783,            0.009462,           0.0082378,           0.0082378,           0.0082378
                  91,            0.027456,            0.023707,           0.0021382,             0.90618,             0.74888,             0.83652,             0.54922,            0.031581,             0.01869,           0.0048437,            0.008218,            0.008218,            0.008218
                  92,            0.026593,            0.022436,           0.0021129,             0.85634,             0.77112,             0.84389,             0.54722,             0.03089,            0.018081,           0.0061953,           0.0081982,           0.0081982,           0.0081982
